313034000;Вставка концевая;ESE14;-;м;93,22;3
313033000;Вставка концевая;ESE9;-;м;79,23;2
1031001;Вставка поликарбонатная;PI/77;-;м;0,00;4
1030701;Вставка уплотнительная;IS1/77;-;м;355,17;2
1112505;Вставка-щетка;IS10;-;м;41,01;2
1112511;Вставка-щетка;ISE01;-;м;69,91;2
1112512;Вставка-щетка;ISE02;-;м;0,00;4
313014000;Вставка-щетка;ISE03;-;м;77,37;4
313025100;Вставка-щетка;ISE06;-;м;110,93;4
313064100;Вставка-щетка;ISE18;-;м;154,74;4
1100600;Втулка приводная;PV;-;шт.;573,30;2
1150203;Выключатель;DAP/2;-;шт.;1294,81;2
1150103;Выключатель;DUP/2;-;шт.;1416,92;2
325002000;Выключатель;KU/1;-;шт.;545,33;2
1150601;Выключатель;SAPF;-;шт.;3319,50;2
1150501;Выключатель;SUPF;-;шт.;3291,54;2
325003000;Выключатель для наружной проводки с фиксацией;Inis Keo;-;шт.;894,89;2
1150112;Выключатель с фиксацией;Inis Duo;00;шт.;2521,56;4
1150111;Выключатель с фиксацией;Inis Uno;00;шт.;1652,76;4
1113430;Гайка;М 6;-;шт.;0,00;4
1150800;Групповое уст-во управления;GU-4;-;шт.;9865,30;2
1150810;Групповое уст-во управления;GU-4.3;-;шт.;3182,48;2
1150820;Групповое уст-во управления;GU-4.R;-;шт.;3643,91;2
323042000;Групповое устройство управления;GU-4/A;-;шт.;0,00;0
1151700;Диодная развязка;D-2;-;шт.;0,00;4
1112601;Заглушка ПВХ;PP12;01;шт.;7,46;2
1112602;Заглушка ПВХ;PP12;02;шт.;7,46;2
1112603;Заглушка ПВХ;PP12;03;шт.;7,46;2
1112604;Заглушка ПВХ;PP12;04;шт.;7,46;2
313011107;Заглушка ПВХ;PP12;107;шт.;7,46;2
313011108;Заглушка ПВХ;PP12;108;шт.;7,46;2
313011110;Заглушка ПВХ;PP12;110;шт.;7,46;4
313011113;Заглушка ПВХ;PP12;113;шт.;7,46;2
313011115;Заглушка ПВХ;PP12;115;шт.;7,46;4
313011120;Заглушка ПВХ;PP12;120;шт.;0,00;4
313011121;Заглушка ПВХ;PP12;121;шт.;7,46;4
313011122;Заглушка ПВХ;PP12;122;шт.;7,46;3
313011123;Заглушка ПВХ;PP12;123;шт.;7,46;4
313011124;Заглушка ПВХ;PP12;124;шт.;0,00;4
313011125;Заглушка ПВХ;PP12;125;шт.;7,46;2
313011126;Заглушка ПВХ;PP12;126;шт.;7,46;4
313011129;Заглушка ПВХ;PP12;129;шт.;0,00;4
1112621;Заглушка ПВХ;PP14;01;шт.;7,46;2
1112622;Заглушка ПВХ;PP14;02;шт.;7,46;2
1112623;Заглушка ПВХ;PP14;03;шт.;7,46;2
1112624;Заглушка ПВХ;PP14;04;шт.;7,46;2
313012107;Заглушка ПВХ;PP14;107;шт.;7,46;3
313012108;Заглушка ПВХ;PP14;108;шт.;7,46;2
313012110;Заглушка ПВХ;PP14;110;шт.;7,46;4
313012113;Заглушка ПВХ;PP14;113;шт.;7,46;2
313012115;Заглушка ПВХ;PP14;115;шт.;7,46;4
313012120;Заглушка ПВХ;PP14;120;шт.;0,00;4
313012121;Заглушка ПВХ;PP14;121;шт.;7,46;4
313012122;Заглушка ПВХ;PP14;122;шт.;7,46;3
313012123;Заглушка ПВХ;PP14;123;шт.;7,46;4
313012124;Заглушка ПВХ;PP14;124;шт.;0,00;4
313012125;Заглушка ПВХ;PP14;125;шт.;7,46;3
313012126;Заглушка ПВХ;PP14;126;шт.;7,46;4
313012129;Заглушка ПВХ;PP14;129;шт.;0,00;4
307111101;Заглушка торцевая;GRC53B;101;пара;138,90;4
307111102;Заглушка торцевая;GRC53B;102;пара;138,90;4
307111103;Заглушка торцевая;GRC53B;103;пара;138,90;4
307111104;Заглушка торцевая;GRC53B;104;пара;138,90;4
307111107;Заглушка торцевая;GRC53B;107;пара;138,90;4
307111108;Заглушка торцевая;GRC53B;108;пара;138,90;4
307111110;Заглушка торцевая;GRC53B;110;пара;138,90;4
307111113;Заглушка торцевая;GRC53B;113;пара;138,90;4
307111115;Заглушка торцевая;GRC53B;115;пара;138,90;4
307111120;Заглушка торцевая;GRC53B;120;пара;0,00;4
307111121;Заглушка торцевая;GRC53B;121;пара;138,90;4
307111122;Заглушка торцевая;GRC53B;122;пара;138,90;4
307111123;Заглушка торцевая;GRC53B;123;пара;138,90;4
307111124;Заглушка торцевая;GRC53B;124;пара;0,00;4
307111125;Заглушка торцевая;GRC53B;125;пара;138,90;4
307111126;Заглушка торцевая;GRC53B;126;пара;138,90;4
307111129;Заглушка торцевая;GRC53B;129;пара;0,00;4
307110101;Заглушка торцевая;GRC53T;101;пара;71,78;2
307110102;Заглушка торцевая;GRC53T;102;пара;71,78;4
307110103;Заглушка торцевая;GRC53T;103;пара;71,78;4
307110104;Заглушка торцевая;GRC53T;104;пара;71,78;4
307110107;Заглушка торцевая;GRC53T;107;пара;71,78;4
307110108;Заглушка торцевая;GRC53T;108;пара;71,78;4
307110110;Заглушка торцевая;GRC53T;110;пара;71,78;4
307110113;Заглушка торцевая;GRC53T;113;пара;71,78;4
307110115;Заглушка торцевая;GRC53T;115;пара;71,78;4
307110120;Заглушка торцевая;GRC53T;120;пара;0,00;4
307110121;Заглушка торцевая;GRC53T;121;пара;71,78;4
307110122;Заглушка торцевая;GRC53T;122;пара;71,78;4
307110123;Заглушка торцевая;GRC53T;123;пара;71,78;4
307110124;Заглушка торцевая;GRC53T;124;пара;0,00;4
